ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,,summary,bayesian,millennia,Sagart2019
posterior-1,STATE_78250000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-2,STATE_11660000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-3,STATE_58920000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-4,STATE_70360000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-5,STATE_41720000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-6,STATE_54270000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-7,STATE_81470000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-8,STATE_36490000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-9,STATE_71120000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-10,STATE_30350000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-11,STATE_80930000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-12,STATE_52770000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-13,STATE_38560000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-14,STATE_40600000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-15,STATE_68140000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-16,STATE_24950000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-17,STATE_97000000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-18,STATE_77520000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-19,STATE_92560000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-20,STATE_37290000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-21,STATE_34270000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-22,STATE_43700000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-23,STATE_22750000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-24,STATE_41120000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-25,STATE_65960000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-26,STATE_62760000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-27,STATE_13850000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-28,STATE_85170000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-29,STATE_65620000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-30,STATE_14400000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-31,STATE_93670000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-32,STATE_78070000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-33,STATE_10560000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-34,STATE_11090000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-35,STATE_36830000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-36,STATE_39300000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-37,STATE_56950000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-38,STATE_26300000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-39,STATE_77910000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-40,STATE_27340000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-41,STATE_39760000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-42,STATE_71440000,posterior.trees,,sample,bayesian,millennia,Sagart2019
posterior-43,STATE_48110000,posterior.trees,,sample,bayesian,millennia,Sagart2019
