Site,Label,concepticonReference,Concepticon_Gloss
1,I_first_person_singular_ascertainment,,
2,I_first_person_singular,1209,I
3,I_first_person_singular,1209,I
4,I_first_person_singular,1209,I
5,I_first_person_singular,1209,I
6,I_first_person_singular,1209,I
7,I_first_person_singular,1209,I
8,I_first_person_singular,1209,I
9,I_first_person_singular,1209,I
10,I_first_person_singular,1209,I
11,I_first_person_singular,1209,I
12,I_first_person_singular,1209,I
13,I_first_person_singular,1209,I
14,I_first_person_singular,1209,I
15,I_first_person_singular,1209,I
16,big_ascertainment,,
17,big,1202,BIG
18,big,1202,BIG
19,big,1202,BIG
20,big,1202,BIG
21,big,1202,BIG
22,big,1202,BIG
23,big,1202,BIG
24,big,1202,BIG
25,big,1202,BIG
26,big,1202,BIG
27,big,1202,BIG
28,big,1202,BIG
29,big,1202,BIG
30,big,1202,BIG
31,big,1202,BIG
32,big,1202,BIG
33,big,1202,BIG
34,big,1202,BIG
35,big,1202,BIG
36,big,1202,BIG
37,big,1202,BIG
38,big,1202,BIG
39,big,1202,BIG
40,big,1202,BIG
41,big,1202,BIG
42,big,1202,BIG
43,big,1202,BIG
44,big,1202,BIG
45,big,1202,BIG
46,big,1202,BIG
47,big,1202,BIG
48,big,1202,BIG
49,big,1202,BIG
50,big,1202,BIG
51,black_ascertainment,,
52,black,163,BLACK
53,black,163,BLACK
54,black,163,BLACK
55,black,163,BLACK
56,black,163,BLACK
57,black,163,BLACK
58,black,163,BLACK
59,black,163,BLACK
60,black,163,BLACK
61,black,163,BLACK
62,black,163,BLACK
63,black,163,BLACK
64,black,163,BLACK
65,black,163,BLACK
66,black,163,BLACK
67,black,163,BLACK
68,black,163,BLACK
69,black,163,BLACK
70,cold_of_temperature_ascertainment,,
71,cold_of_temperature,1287,COLD
72,cold_of_temperature,1287,COLD
73,cold_of_temperature,1287,COLD
74,cold_of_temperature,1287,COLD
75,cold_of_temperature,1287,COLD
76,cold_of_temperature,1287,COLD
77,cold_of_temperature,1287,COLD
78,cold_of_temperature,1287,COLD
79,cold_of_temperature,1287,COLD
80,cold_of_temperature,1287,COLD
81,cold_of_temperature,1287,COLD
82,cold_of_temperature,1287,COLD
83,cold_of_temperature,1287,COLD
84,cold_of_temperature,1287,COLD
85,cold_of_temperature,1287,COLD
86,cold_of_temperature,1287,COLD
87,cold_of_temperature,1287,COLD
88,cold_of_temperature,1287,COLD
89,cold_of_temperature,1287,COLD
90,cold_of_temperature,1287,COLD
91,cold_of_temperature,1287,COLD
92,cold_of_temperature,1287,COLD
93,cold_of_temperature,1287,COLD
94,cold_of_temperature,1287,COLD
95,cold_of_temperature,1287,COLD
96,cold_of_temperature,1287,COLD
97,cold_of_temperature,1287,COLD
98,cold_of_temperature,1287,COLD
99,cold_of_temperature,1287,COLD
