item                                          mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                     -21787.5 0.364527 10.10832 -21787.4 -21807.2 -21767.9 117055.6 768.9507 NaN     
likelihood                                    -21695.1 0.120832 7.600665 -21694.7 -21711.2 -21681.5 22748.27 3956.783 NaN     
prior                                         -92.4020 0.355568 6.751447 -92.4891 -105.355 -78.8573 249655.7 360.5365 NaN     
treeLikelihood.sinotibetan-march-48-180-beast -21695.1 0.120832 7.600665 -21694.7 -21711.2 -21681.5 22748.27 3956.783 NaN     
TreeHeight.t:tree                             7.184535 0.044601 1.178616 7.053221 5.092835 9.568481 128892.7 698.3326 7.091726
mutationRate.s:sinotibetan-march-48-180-beast 1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:sinotibetan-march-48-180-beast   0.055912 0.000452 0.017094 0.055607 0.021302 0.087209 62807.07 1433.118 0.052909
bcov_s.s:sinotibetan-march-48-180-beast       0.199397 0.000598 0.0239   0.198362 0.151611 0.246048 56347.59 1597.406 0.197958
frequencies.s:sinotibetan-march-48-180-beast1 0.994371 9.77E-6  0.000522 0.994382 0.993335 0.995367 31504.42 2857.058 0.994371
frequencies.s:sinotibetan-march-48-180-beast2 0.005629 9.77E-6  0.000522 0.005618 0.004633 0.006665 31504.42 2857.058 0.005605
logP(mrca(SiniticDialects))                   1.609438 4.37E-7  6.89E-7  1.609438 1.609438 1.609438 36094229 2.49375  1.609438
mrcatime(SiniticDialects)                     2.059944 0.000733 0.047847 2.048258 2.000015 2.158098 21123.56 4261.117 2.059396
logP(mrca(SiniticOldChinese.leaf.prior))      0.693147 NaN      NaN      0.693147 0.693147 0.693147 10000    9001     0.693147
height(SiniticOldChinese)                     2.55     1.04E-6  1.69E-6  2.55     2.55     2.55     34146689 2.63598  2.55    
ucldMean.c:clock                              0.002641 2.01E-5  0.000443 0.002596 0.001868 0.003566 185110.3 486.2504 0.002605
ucldStdev.c:clock                             0.444892 0.002228 0.057843 0.440423 0.339458 0.56141  133554.4 673.9573 0.441224
rate.c:clock.mean                             0.002553 1.89E-5  0.000409 0.002518 0.00181  0.003358 191906.8 469.0296 0.002521
rate.c:clock.variance                         1.61E-6  3.92E-8  8.75E-7  1.4E-6   4.73E-7  3.28E-6  180438.0 498.8416 1.44E-6 
rate.c:clock.coefficientOfVariation           0.468413 0.002884 0.0625   0.462982 0.354372 0.59132  191654.1 469.6481 0.464377
FBD.t:tree                                    -92.3722 0.358668 6.800138 -92.4981 -105.490 -78.7852 250403.1 359.4603 NaN     
diversificationRateFBD.t:tree                 0.282973 0.002188 0.070411 0.279254 0.150786 0.425443 86902.82 1035.754 0.274005
turnoverFBD.t:tree                            0.291929 0.001577 0.139457 0.274611 0.047236 0.558607 11508.52 7821.155 0.256406
samplingProportionFBD.t:tree                  0.226816 0.001428 0.131303 0.200476 0.030373 0.488335 10652.19 8449.904 0.190303
originFBD.t:tree                              10.34114 0.06859  3.655853 9.421502 5.327321 17.70171 31683.88 2840.876 9.826568
SACountFBD.t:tree                             1.909232 0.007264 0.327403 2        1        2        44302.73 2031.702 NaN     
